id,id_loc_1,id_loc_2,dist,time
1,1,4,319.546,335.62
2,1,6,65.747,99.15
3,1,15,221.246,237.31
4,1,16,346.22,360.0
5,1,18,285.12,307.75
6,1,20,72.362,184.93
7,1,23,336.157,264.47
8,1,30,275.201,214.71
9,1,39,256.947,356.82
10,1,42,129.383,165.63
11,1,50,319.816,331.16
12,1,61,347.85,360.0
13,1,68,124.659,148.19
14,1,73,272.823,221.04
15,1,86,214.529,334.58
16,1,87,94.868,176.91
17,1,93,311.427,286.21
18,1,97,113.971,199.98
19,1,99,175.253,222.47
20,1,100,131.042,180.34
21,1,101,304.8,256.18
22,1,102,179.727,307.75
23,1,108,318.897,325.04
24,1,110,183.82,239.59
25,1,119,122.22,136.33
26,1,133,97.897,207.95
27,1,138,235.088,239.04
28,1,143,311.727,279.51
29,1,153,133.394,212.23
30,1,156,63.856,142.72
31,1,166,250.392,285.25
32,1,171,286.271,305.81
33,1,172,285.53,269.38
34,1,181,129.21,261.18
35,1,183,176.3,219.19
36,1,186,14.933,120.02
37,1,190,230.754,267.05
38,1,191,119.632,173.61
39,1,192,228.389,281.07
40,1,193,273.157,234.25
41,1,202,174.93,207.27
42,1,208,334.515,283.93
43,1,210,221.77,294.25
44,1,216,131.525,221.66
45,1,230,304.353,260.55
46,1,233,263.543,248.83
47,1,243,179.563,210.44
48,1,249,133.397,196.05
49,1,251,304.86,327.17
50,1,252,189.524,175.36
51,1,260,138.497,193.9
52,1,266,278.384,277.64
53,1,275,86.631,180.99
54,1,278,254.49,282.75
55,1,289,321.827,246.2
56,1,291,324.18,311.51
57,1,299,261.408,254.41
58,2,1,190.614,263.7
59,2,4,315.189,360.0
60,2,11,227.004,247.52
61,2,13,209.573,202.21
62,2,15,58.506,144.59
63,2,31,268.125,349.43
64,2,49,163.025,172.24
65,2,57,119.177,156.22
66,2,59,77.095,168.1
67,2,73,136.162,237.74
68,2,80,242.768,211.63
69,2,83,301.906,299.85
70,2,85,106.311,141.02
71,2,96,160.417,176.49
72,2,100,317.883,262.11
73,2,111,297.573,302.93
74,2,114,123.618,165.19
75,2,116,248.228,298.23
76,2,120,100.414,131.82
77,2,123,260.395,263.49
78,2,129,310.601,287.24
79,2,134,215.765,259.24
80,2,135,205.927,162.98
81,2,138,47.578,142.77
82,2,139,109.949,151.31
83,2,143,346.555,360.0
84,2,151,218.343,268.28
85,2,153,111.747,174.58
86,2,156,221.192,281.23
87,2,167,174.307,215.42
88,2,168,264.409,240.47
89,2,179,223.276,277.71
90,2,183,165.029,198.43
91,2,191,83.615,119.64
92,2,195,49.786,119.05
93,2,199,136.735,175.78
94,2,206,109.89,206.47
95,2,213,171.064,166.87
96,2,215,81.761,162.52
97,2,216,79.518,128.08
98,2,217,102.901,133.7
99,2,220,346.095,243.2
100,2,224,170.158,224.58
101,2,231,67.852,118.43
102,2,233,138.566,177.26
103,2,235,202.732,229.52
104,2,237,239.431,215.3
105,2,240,212.579,242.95
106,2,261,68.542,148.27
107,2,265,134.421,217.23
108,2,267,137.965,222.77
109,2,268,228.725,233.9
110,2,269,218.341,193.68
111,2,272,198.242,166.45
112,2,274,218.644,252.75
113,2,275,277.209,273.12
114,2,276,295.79,289.64
115,2,277,182.687,159.58
116,2,285,181.825,280.96
117,2,288,169.584,152.66
118,2,291,193.297,183.17
119,2,292,214.303,239.78
120,2,293,309.112,360.0
121,2,294,202.952,212.72
122,2,295,173.505,248.4
123,2,296,222.244,315.68
124,3,8,76.573,208.3
125,3,11,67.115,129.2
126,3,23,315.815,323.46
127,3,35,277.839,304.42
128,3,49,153.989,264.1
