vehicle_id,final_location_id,current_odometer_km,km_driven_this_lease_year,total_lifetime_km,annual_limit_km,overage_km,overage_ratio,total_relocations,total_relocation_cost,total_overage_cost,routes_completed,km_since_last_service,service_due
1,73,328635,99,328635,150000,0,0.07%,0,0.00,0.00,1,99,False
2,73,401681,128,401681,150000,0,0.09%,0,0.00,0.00,1,128,False
3,73,416500,251,416500,150000,0,0.17%,0,0.00,0.00,1,251,False
4,73,402935,226,402935,150000,0,0.15%,0,0.00,0.00,1,226,False
5,73,363666,130,363666,150000,0,0.09%,0,0.00,0.00,1,130,False
6,73,371330,412,371330,150000,0,0.27%,0,0.00,0.00,1,412,False
7,73,443199,128,443199,150000,0,0.09%,0,0.00,0.00,1,128,False
8,73,430242,236,430242,150000,0,0.16%,0,0.00,0.00,1,236,False
9,73,416829,246,416829,150000,0,0.16%,0,0.00,0.00,1,246,False
10,73,370007,223,370007,150000,0,0.15%,0,0.00,0.00,1,223,False
11,73,333056,242,333056,150000,0,0.16%,0,0.00,0.00,1,242,False
12,73,375293,124,375293,150000,0,0.08%,0,0.00,0.00,1,124,False
13,73,360139,168,360139,150000,0,0.11%,0,0.00,0.00,1,168,False
14,73,354035,282,354035,150000,0,0.19%,0,0.00,0.00,1,282,False
15,73,337154,129,337154,150000,0,0.09%,0,0.00,0.00,1,129,False
16,73,414886,250,414886,150000,0,0.17%,0,0.00,0.00,1,250,False
17,73,371462,273,371462,150000,0,0.18%,0,0.00,0.00,1,273,False
18,73,307347,170,307347,150000,0,0.11%,0,0.00,0.00,1,170,False
19,73,293549,248,293549,150000,0,0.17%,0,0.00,0.00,1,248,False
20,73,370411,222,370411,150000,0,0.15%,0,0.00,0.00,1,222,False
21,73,368292,166,368292,150000,0,0.11%,0,0.00,0.00,1,166,False
22,73,325233,230,325233,150000,0,0.15%,0,0.00,0.00,1,230,False
23,73,426026,207,426026,150000,0,0.14%,0,0.00,0.00,1,207,False
24,73,295592,190,295592,150000,0,0.13%,0,0.00,0.00,1,190,False
25,73,360240,646,360240,150000,0,0.43%,0,0.00,0.00,1,646,False
26,73,308292,176,308292,150000,0,0.12%,0,0.00,0.00,1,176,False
27,73,364686,226,364686,150000,0,0.15%,0,0.00,0.00,1,226,False
28,73,327080,241,327080,150000,0,0.16%,0,0.00,0.00,1,241,False
29,73,317107,0,317107,150000,0,0.00%,0,0.00,0.00,0,0,False
30,73,271813,0,271813,150000,0,0.00%,0,0.00,0.00,0,0,False
31,73,331112,0,331112,150000,0,0.00%,0,0.00,0.00,0,0,False
32,73,320301,0,320301,150000,0,0.00%,0,0.00,0.00,0,0,False
33,73,279630,0,279630,150000,0,0.00%,0,0.00,0.00,0,0,False
34,73,286021,0,286021,150000,0,0.00%,0,0.00,0.00,0,0,False
35,73,312225,0,312225,150000,0,0.00%,0,0.00,0.00,0,0,False
36,73,289600,0,289600,150000,0,0.00%,0,0.00,0.00,0,0,False
37,73,314861,0,314861,150000,0,0.00%,0,0.00,0.00,0,0,False
38,73,263925,0,263925,150000,0,0.00%,0,0.00,0.00,0,0,False
39,73,352221,0,352221,150000,0,0.00%,0,0.00,0.00,0,0,False
40,73,340697,0,340697,150000,0,0.00%,0,0.00,0.00,0,0,False
41,73,281122,0,281122,150000,0,0.00%,0,0.00,0.00,0,0,False
42,73,294108,0,294108,150000,0,0.00%,0,0.00,0.00,0,0,False
43,73,381211,0,381211,150000,0,0.00%,0,0.00,0.00,0,0,False
44,73,373168,0,373168,150000,0,0.00%,0,0.00,0.00,0,0,False
45,73,318261,0,318261,150000,0,0.00%,0,0.00,0.00,0,0,False
46,73,276627,0,276627,150000,0,0.00%,0,0.00,0.00,0,0,False
47,73,275317,0,275317,150000,0,0.00%,0,0.00,0.00,0,0,False
48,73,276627,0,276627,150000,0,0.00%,0,0.00,0.00,0,0,False
49,73,363455,0,363455,150000,0,0.00%,0,0.00,0.00,0,0,False
50,73,350755,0,350755,150000,0,0.00%,0,0.00,0.00,0,0,False
