Id,registration_number,brand,service_interval_km,Leasing_start_km,leasing_limit_km,leasing_start_date,leasing_end_date,current_odometer_km,Current_location_id
1,KR5246J,Volvo,110000,0,450000,2021-03-08 00:00:00,2024-03-07 00:00:00,328536,73
2,DW2178L,Volvo,110000,0,450000,2021-03-08 00:00:00,2024-03-07 00:00:00,401553,73
3,LU8321W,Volvo,110000,0,450000,2021-03-08 00:00:00,2024-03-07 00:00:00,416249,73
4,PO6986J,Volvo,110000,0,450000,2021-03-08 00:00:00,2024-03-07 00:00:00,402709,73
5,ZS8758M,DAF,120000,0,450000,2021-03-14 00:00:00,2024-03-13 00:00:00,363536,73
6,WLI0304O,DAF,120000,0,450000,2021-03-14 00:00:00,2024-03-13 00:00:00,370918,73
7,ND3121F,DAF,120000,0,450000,2021-03-14 00:00:00,2024-03-13 00:00:00,443071,73
8,SK5752N,DAF,120000,0,450000,2021-03-14 00:00:00,2024-03-13 00:00:00,430006,73
9,SK4319A,DAF,120000,0,450000,2021-03-14 00:00:00,2024-03-13 00:00:00,416583,73
10,WL3133P,DAF,120000,0,450000,2021-03-16 00:00:00,2024-03-15 00:00:00,369784,73
11,LB8387D,DAF,120000,0,450000,2021-03-16 00:00:00,2024-03-15 00:00:00,332814,73
12,LB6532K,DAF,120000,0,450000,2021-03-16 00:00:00,2024-03-15 00:00:00,375169,73
13,KRA5061Q,DAF,120000,0,450000,2021-03-16 00:00:00,2024-03-15 00:00:00,359971,73
14,WXE1114V,DAF,120000,0,450000,2021-05-23 00:00:00,2024-05-22 00:00:00,353753,73
15,SK2445H,DAF,120000,0,450000,2021-05-22 00:00:00,2024-05-21 00:00:00,337025,73
16,WWL8523S,DAF,120000,0,450000,2021-05-23 00:00:00,2024-05-22 00:00:00,414636,73
17,WLI2699B,DAF,120000,0,450000,2021-05-22 00:00:00,2024-05-21 00:00:00,371189,73
18,WL6670G,DAF,120000,0,450000,2021-06-05 00:00:00,2024-06-04 00:00:00,307177,73
19,LUB1293D,DAF,120000,0,450000,2021-06-02 00:00:00,2024-06-01 00:00:00,293301,73
20,SK7404R,DAF,120000,0,450000,2021-06-05 00:00:00,2024-06-04 00:00:00,370189,73
21,ND3116J,DAF,120000,0,450000,2021-06-02 00:00:00,2024-06-01 00:00:00,368126,73
